goos: darwin
goarch: arm64
pkg: pkg.gostartkit.com/web
cpu: Apple M2
BenchmarkTryParseUint8-8                                  	234757914	         4.995 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt16-8                                  	153893258	         7.735 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt16-8                                  	154818274	         7.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt16-8                                  	100000000	        10.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt16-8                                  	153422659	         9.460 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt16-8                                  	154573474	         7.785 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint16-8                                 	201829131	         6.009 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint16-8                                 	205227178	         5.801 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint16-8                                 	204231274	         6.102 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint16-8                                 	209658577	         5.703 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint16-8                                 	198900398	         5.955 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt32-8                                  	132313435	         8.979 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt32-8                                  	133760642	         9.016 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt32-8                                  	129719228	         8.968 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt32-8                                  	133606124	         9.004 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseInt32-8                                  	132842658	         8.961 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint32-8                                 	152248382	         7.868 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint32-8                                 	153545034	         7.762 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint32-8                                 	154667668	         8.032 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint32-8                                 	153536725	         7.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkTryParseUint32-8                                 	154736624	         8.694 ns/op	       0 B/op	       0 allocs/op
